diffbaron,diffcc,diffcs,diffdmg,diffdrag,diffgold,diffkda,diffrange,diffspree,difftank,difftp,fbaron,fblood,fdrag,finhib,fturret,win
-2,210,-163,-16820,-1,-19608,-51.53571428571429,0,-3,2,0,False,False,True,False,False,False
0,-475,-85,8030,0,3868,11.3,0,0,-1,1,False,False,False,False,True,True
0,255,-130,-14131,-2,-8895,-18.583333333333332,1,-3,-1,0,False,False,False,False,False,False
-2,1109,-5,-4182,-2,-14276,-19.128499278499277,1,-3,1,0,False,True,True,True,True,False
1,-494,-67,-27074,-3,-13103,-46.56785714285714,0,-3,0,0,True,True,False,False,True,False
-1,-462,-14,-17752,-2,-12945,-46.8,-1,-5,0,0,False,False,False,False,False,False
1,679,69,18434,-3,14127,39.27619047619047,0,3,-1,0,True,False,False,True,True,True
1,1650,261,51070,1,22221,15.086002886002886,-1,6,0,-1,True,True,False,True,True,True
-1,-408,-211,-52190,-4,-21281,-10.726190476190478,0,-6,1,0,False,False,False,False,False,False
0,1047,10,9999,2,13375,10.098809523809521,-2,1,0,1,False,True,True,True,True,True
-1,-276,-56,-11399,-3,-12536,-23.38690476190476,-1,-5,1,0,False,True,False,False,True,False
0,-1722,167,25461,0,10422,12.956746031746032,1,1,0,-1,False,True,True,True,True,True
1,268,-68,29659,1,17364,54.028571428571425,2,5,-1,0,True,True,False,True,True,True
1,301,29,32783,3,16418,7.601648351648352,1,2,0,-1,True,True,True,True,True,True
0,-299,45,18913,1,8344,25.625,2,1,-1,0,False,False,True,False,False,True
1,-503,-23,12328,2,4252,2.727777777777776,-2,0,1,-1,True,True,True,False,False,True
-1,408,16,-41812,-3,-16399,-15.083333333333336,-1,-2,1,0,False,False,False,False,False,False
-1,-516,120,-1802,-1,-1032,-5.281565656565656,1,-1,0,1,False,False,False,True,False,True
-1,568,53,-12245,-1,-8079,-24.93333333333333,0,-2,1,-1,False,False,False,False,True,False
0,-313,70,12528,2,7502,15.766666666666666,1,3,-2,1,False,False,True,False,False,True
-1,-753,-151,-40980,-1,-18530,-31.819047619047623,1,-7,0,0,False,False,False,False,False,False
0,-853,32,14874,2,9107,18.476190476190478,1,4,-1,0,False,False,True,False,False,True
-1,683,-9,-8273,-3,-15753,-17.35277777777778,1,-4,0,0,False,True,False,False,False,False
1,-698,126,33585,1,15728,24.4,0,4,-1,1,True,True,True,True,True,True
1,741,4,35804,2,12053,7.776190476190475,-1,3,1,0,True,False,False,True,True,True
0,-122,-71,-1128,-1,-10531,-2.204761904761904,0,0,-1,1,False,False,True,False,False,False
-2,-147,-59,-11576,-3,-15942,-12.40472027972028,-1,-1,0,-1,False,True,True,False,True,False
0,-1450,-68,-8971,-1,-11376,-30.983333333333334,0,-2,-1,1,False,False,False,False,False,False
2,-1649,-14,-7312,3,8729,1.9516594516594523,-1,2,-1,1,True,False,True,True,False,True
-1,599,-94,-7480,3,-6344,-8.89484126984127,0,-6,1,0,False,False,True,False,False,False
0,-909,31,9437,0,4736,5.502777777777778,-1,3,-1,0,False,False,False,True,False,True
1,1156,88,25003,3,21333,28.22380952380953,1,3,0,1,True,True,True,True,True,True
2,-1380,2,25066,1,13555,35.0,1,2,0,1,True,True,True,True,False,True
1,1467,25,33087,4,22193,23.126068376068375,-2,4,0,1,True,True,True,True,True,True
-2,22,152,-31050,-2,-12276,-37.36349206349207,0,-3,0,-1,False,True,False,False,False,False
-1,-282,0,1468,-2,-9417,-15.149999999999999,0,-4,-1,1,False,False,False,False,False,False
0,545,5,22569,1,8720,28.166666666666668,0,3,2,1,False,False,True,False,False,True
1,1259,90,36199,2,20146,37.56666666666666,0,5,1,-1,True,True,True,True,True,True
1,793,127,23619,2,21749,38.161616161616166,0,3,-1,0,True,True,True,True,True,True
0,-101,-49,-23661,-2,-12091,-30.1,0,-4,0,0,False,True,False,False,False,False
0,-233,-116,16611,-4,-4208,3.9444444444444464,1,2,-3,0,False,True,False,True,True,False
-1,-258,-68,-20493,-2,-14952,-27.180952380952384,-1,-4,1,0,False,False,False,False,False,False
-1,87,-13,4867,3,10350,14.071428571428571,1,2,-1,0,False,True,True,True,True,True
1,-857,6,18493,2,12036,8.921428571428569,0,6,0,0,True,True,False,True,False,True
0,-238,-273,-16036,2,-7098,-0.6400432900432911,1,-2,0,0,True,False,True,False,False,False
0,-370,134,15750,1,13676,30.86111111111111,1,5,-1,0,False,True,True,True,False,True
0,-23,3,-4753,-2,-14531,-46.96666666666667,-1,-4,1,0,False,False,False,False,False,False
0,1881,56,19650,2,12761,19.035714285714285,0,4,1,0,False,True,True,True,True,True
1,-4,96,3018,-3,14599,38.471428571428575,-1,5,1,1,True,True,False,True,True,True
-1,-719,-186,-10747,5,-2259,-16.569444444444443,0,0,2,1,False,True,True,True,False,False
0,320,-137,-8498,-2,-17148,-29.109523809523807,1,-5,-1,-1,False,False,False,False,False,False
0,222,31,6359,0,7165,22.333333333333332,2,3,-2,0,False,True,False,True,True,True
2,2245,-97,24941,0,6112,9.968253968253968,0,4,2,-1,True,True,True,True,True,True
1,-249,164,11656,2,15930,25.887301587301586,-1,5,0,1,True,False,True,False,True,True
1,1705,3,-126,0,11145,14.132539682539681,0,3,1,1,True,False,True,True,True,True
-2,204,-131,-16171,-3,-20412,-29.13809523809524,-2,-4,2,0,False,False,False,False,False,False
-1,-612,-181,-13728,-1,-13033,-13.69047619047619,-3,-4,2,0,False,False,False,False,False,False
0,-190,204,10462,1,21092,34.55634920634921,0,7,0,0,False,False,False,True,True,True
0,-589,-136,7287,3,5253,8.47777777777778,-1,1,-1,0,False,True,True,True,False,True
1,1963,109,4335,2,12020,-3.633333333333333,0,6,0,1,True,False,True,False,True,True
0,1338,32,-700,-1,6601,26.9,-1,4,0,0,False,False,False,False,False,True
-1,1508,-78,-4973,-2,-13369,-10.916666666666668,-2,-4,1,0,False,False,False,False,False,False
1,35,43,32579,2,14519,21.455952380952386,0,5,0,0,True,True,True,True,True,True
-1,-819,-28,-11192,0,-10758,-24.91984126984127,1,1,-1,-1,False,True,True,False,False,False
-1,1039,-173,-23399,-1,-15033,-22.32142857142857,-1,-3,0,1,False,False,True,False,True,False
-1,374,-72,-19526,2,-1486,3.116666666666667,-2,1,1,1,True,False,False,False,True,True
-1,55,-135,-9347,0,-12889,-25.52857142857143,1,-2,0,-1,False,True,True,False,False,False
1,768,27,-4781,2,15629,38.263888888888886,0,3,0,-1,True,True,True,True,True,True
-1,-416,-13,-22929,0,-17064,-17.874675324675323,0,-2,-1,0,False,True,True,False,True,False
2,567,5,35964,0,15489,61.39999999999999,-2,8,1,0,True,True,False,True,True,True
0,817,134,13345,0,13701,37.46666666666667,-1,4,0,0,False,True,False,True,True,True
-1,161,-78,-15197,2,-11989,-33.0,-1,-3,0,0,False,False,True,False,False,False
-2,-509,16,1337,2,-12062,-21.03571428571429,0,-4,-1,0,False,False,True,False,False,False
1,449,67,17849,2,15867,28.597619047619045,-2,4,1,0,True,True,True,True,True,True
1,-647,186,16525,0,13015,17.6468253968254,0,4,-1,0,True,False,False,True,True,True
1,1846,-39,28638,5,17459,8.80627705627706,0,2,1,0,False,False,True,False,True,True
1,56,32,23984,2,17718,17.340909090909093,0,3,1,0,True,True,True,True,True,True
-1,-2064,-9,-36947,-3,-17094,-30.745238095238093,-1,-8,0,0,False,True,False,False,True,False
0,-212,111,19006,1,11897,13.05,-1,3,0,0,False,True,True,False,True,True
0,1255,304,27192,2,19899,41.475,-1,3,1,-1,False,True,True,True,True,True
1,1537,90,26909,4,20846,36.17045454545455,0,8,2,0,True,True,True,True,True,True
0,43,73,-7198,3,14376,27.766666666666666,-3,2,2,0,False,True,True,True,True,True
0,-52,-52,-12742,-1,-13013,-44.266666666666666,1,-2,-1,0,False,True,False,False,False,False
0,-1381,-76,-28833,-2,-14895,-27.994444444444447,0,-6,-1,0,False,False,False,False,True,False
-1,-2126,80,-19555,-2,-12005,-21.0547619047619,-2,-3,0,0,False,True,True,False,False,False
-1,-1071,-130,-23861,-3,-19987,-24.926984126984124,0,-1,-2,-1,False,True,False,False,True,False
0,-415,59,-1090,2,12917,28.74285714285714,1,0,0,1,False,False,True,True,True,True
-1,-989,-92,2207,2,-6925,-34.5030303030303,1,-3,0,-1,False,True,True,True,True,False
0,11021,8,21011,-1,10594,34.949999999999996,2,4,-1,0,False,False,False,True,False,True
1,818,-89,1589,-1,-2813,-2.845238095238095,1,-1,1,0,True,True,True,True,True,True
1,670,139,13572,3,18280,13.01984126984127,-1,2,0,0,True,True,True,True,True,True
1,930,38,14398,3,15889,21.56190476190476,-1,3,1,0,True,True,True,True,True,True
1,714,138,41227,4,24004,28.49523809523809,0,3,-1,0,True,True,True,True,True,True
-2,2144,-33,2254,0,3432,8.564835164835165,0,2,1,1,False,False,False,True,False,True
0,-605,-113,-15894,-1,-12570,-28.916666666666668,1,-3,-1,-1,False,False,False,False,False,False
0,-90,129,-11723,3,4246,-8.663736263736261,1,-6,-1,1,False,False,True,False,True,True
1,1116,-77,27389,4,14262,14.897619047619049,1,2,0,0,True,True,True,True,True,True
0,-526,67,-12296,-1,-8639,-9.936507936507939,-2,2,2,0,True,True,False,False,True,False
0,-148,-107,-20678,-2,-15064,-38.60595238095238,1,-2,-1,0,False,True,False,False,False,False
-1,-45,-19,-27080,-2,-15285,-28.133333333333333,-3,-3,0,0,False,True,False,False,False,False
-1,-537,-83,-21663,-3,-17602,-21.035714285714285,-1,-4,-1,0,False,True,False,False,True,False
0,-85,-50,-16837,-2,-11132,-38.166666666666664,-1,-2,0,0,False,False,False,False,False,False
0,-669,-9,-5857,-2,-10871,-40.3,3,-3,-1,0,False,False,False,False,True,False
0,-162,276,12112,-1,5063,0.22420634920635152,-2,3,0,0,True,False,True,False,False,True
-2,-460,-78,-10148,0,-5901,1.4984487734487715,1,0,1,1,False,False,True,True,False,False
-1,-88,24,-17283,0,-11941,-19.419047619047618,0,-3,1,0,False,True,False,False,True,False
0,882,60,20410,2,18752,24.016666666666666,-1,6,0,1,False,True,True,True,True,True
-3,286,-53,-1966,-1,-3767,2.1615079365079364,-2,1,0,0,False,True,False,False,True,False
1,2002,-96,6863,2,6440,4.985750360750362,0,0,1,0,False,True,True,True,True,True
0,87,68,24538,3,18835,36.23333333333333,2,3,-1,-1,False,True,True,True,True,True
0,1227,-2,15498,0,6131,21.43333333333333,-1,1,0,0,False,True,False,True,False,True
0,113,117,19674,1,16794,37.464285714285715,1,3,-1,0,False,True,True,True,True,True
-1,-1995,-83,2002,0,-3369,-8.32857142857143,0,0,1,-1,False,True,True,True,True,False
1,746,120,7700,0,15456,28.84603174603175,-3,7,0,0,True,True,False,False,False,True
-1,553,52,-12867,-2,-15939,-24.127777777777776,0,-5,0,-1,False,False,False,False,True,False
-1,-1627,-9,-19802,-3,-16721,-34.66666666666667,-1,-6,-2,0,False,True,False,False,True,False
-1,-923,-71,-2910,-2,-10627,-13.891666666666666,0,-2,0,0,False,False,False,False,False,False
-1,411,39,-8382,-2,-11360,-20.26666666666667,0,-2,0,0,False,False,True,False,False,False
-1,-247,-67,-4290,-2,-7859,4.660714285714288,-2,1,1,0,False,False,False,False,False,False
-2,-726,-110,-36417,-3,-18093,-16.12222222222222,-1,1,-1,-1,False,True,False,False,False,False
0,705,36,-8153,-2,-13003,-9.840079365079362,-2,0,2,1,False,False,False,False,True,False
0,224,92,16279,3,12231,16.716666666666665,-1,4,0,0,False,False,True,False,True,True
-1,-194,70,-12870,2,-6110,-10.578968253968252,-1,1,0,-1,False,True,True,False,True,False
-2,-190,-114,-49813,3,-10693,-30.037912087912087,-1,-6,-1,1,False,True,True,True,False,False
2,1014,-99,4546,2,9392,4.559523809523808,2,0,-1,-1,True,False,False,True,False,True
2,-299,-116,-17190,-1,-5766,-2.0500000000000007,0,-3,-1,-1,True,True,True,False,False,False
0,78,-100,-9529,1,-9502,-16.500000000000004,-2,-1,1,0,False,False,True,False,False,False
0,195,-2,-9680,2,12392,23.939285714285713,-1,4,1,1,True,True,True,True,True,True
1,-542,93,21252,2,11382,39.226190476190474,0,4,-2,0,True,False,True,False,True,True
0,-3874,-111,866,-1,-15037,-16.232356532356537,-1,-4,2,-1,True,True,False,True,True,False
1,-988,143,30018,-1,14402,19.013095238095232,1,5,-2,1,True,False,False,True,False,True
2,-17,52,-14828,-1,5640,-2.7431457431457424,-1,3,1,-1,True,True,False,True,True,True
0,-156,-62,-9853,-2,-12409,-19.444444444444443,-1,-3,0,0,False,True,False,False,False,False
-2,196,-31,-33517,-4,-15647,-8.613095238095239,-3,-5,-1,1,False,False,False,False,True,False
-1,-1407,-183,-19762,0,-6029,-19.635714285714286,0,-4,-1,0,False,False,True,True,False,True
-1,650,-40,-20381,-3,-21672,-33.65,2,-5,-1,0,False,False,False,False,False,False
-1,-839,46,4912,2,-7003,-6.097222222222221,1,0,-2,0,False,True,True,False,False,False
0,210,176,20062,2,12006,26.25,0,3,1,0,False,True,True,False,True,True
-1,-413,-45,5763,-3,-9474,-18.673809523809524,-1,-5,1,0,False,True,False,False,True,False
0,212,-211,-13118,-1,-15707,-24.866666666666667,1,-5,1,0,False,False,False,False,False,False
1,350,11,-1454,0,6644,6.509920634920636,-1,1,1,1,True,False,True,True,False,True
2,1742,-63,12913,0,6876,4.647438672438671,-1,2,1,0,True,False,False,True,True,True
1,997,195,37185,2,22727,49.66269841269841,-2,2,0,0,True,True,True,True,True,True
-1,-661,-125,-21375,-1,-16573,-11.208547008547008,1,-4,-1,1,False,False,False,False,True,False
0,871,224,31959,1,22399,51.111111111111114,-1,8,0,1,False,True,True,True,True,True
1,-194,-10,5077,-1,11446,8.89835164835165,-1,-2,1,0,True,True,False,True,True,True
1,-2003,-193,-1198,-2,-12973,-16.055952380952384,1,-3,-1,-1,True,False,False,False,False,False
0,-1241,-156,-7866,-2,-21537,-45.486111111111114,0,-4,0,0,True,False,True,False,True,False
-2,-905,-12,-32306,-1,-21787,-47.958333333333336,0,-5,1,-1,False,False,True,False,False,False
1,567,23,11880,-2,6409,7.557936507936507,-1,3,1,0,True,True,False,True,True,True
0,65,175,-6331,2,10724,21.65,0,4,-1,2,False,False,True,False,True,True
1,528,19,27203,-2,10611,27.617460317460313,1,7,-1,-1,True,False,False,True,True,True
1,19081,-58,-35211,-1,8039,17.614763014763017,-3,5,1,1,True,True,False,True,True,True
0,423,-56,-11671,3,-6930,-14.461904761904762,0,-5,-1,0,False,True,True,False,True,False
-2,200,5,-5070,2,-7467,-8.358333333333333,0,-2,1,-1,False,False,True,False,True,False
-1,-564,-46,-7363,-2,-11099,-32.11666666666666,2,-6,0,0,False,True,False,False,True,False
1,251,115,9626,2,15283,15.652380952380952,0,9,-1,0,True,True,True,True,True,True
-1,-340,-25,-9929,1,-5861,-16.53333333333333,0,-1,-2,1,False,True,True,False,True,False
0,33,64,22063,2,13625,14.241666666666665,0,6,0,-1,False,True,True,True,False,True
1,-301,70,-3777,-3,1609,12.45714285714286,1,1,-2,0,True,False,False,True,True,True
-1,398,-22,-16285,0,-9730,-49.875,1,-8,-1,-1,False,True,True,False,True,False
-1,306,-6,-22285,-2,-11478,-24.433333333333334,0,-3,0,1,False,False,False,False,False,False
0,-109,30,10970,3,12863,39.8,1,6,0,0,False,False,True,True,True,True
1,38,34,15667,2,14932,25.51666666666667,-1,6,1,0,True,False,True,True,True,True
0,8037,161,10097,0,10743,16.150000000000002,0,2,1,0,False,True,False,True,True,True
-1,1019,-124,12911,1,6349,20.744444444444447,0,3,1,-1,False,True,False,True,False,True
-1,-328,-64,-30295,-1,-15962,-35.79642857142858,0,-6,0,0,False,False,False,False,True,False
0,329,121,28027,2,17940,53.68333333333333,-1,8,1,0,False,True,True,True,False,True
0,245,95,32396,4,12967,14.95714285714286,0,2,-1,0,False,False,True,True,False,True
-1,460,-98,797,-1,-12328,4.633333333333333,1,-1,1,-1,False,False,False,False,False,False
0,545,-107,-16919,-2,-16273,-34.70833333333333,-1,-2,-1,1,False,True,False,False,False,False
1,-725,137,33999,2,11365,17.416666666666664,1,2,-1,0,True,False,False,True,False,True
1,432,11,-7995,0,10901,6.861904761904762,2,3,-1,0,True,False,False,True,True,True
1,445,26,15779,2,17064,35.1288961038961,-2,6,1,0,True,True,True,True,True,True
-2,4,176,-15122,0,-10278,-23.082539682539682,-1,-4,1,1,False,True,True,False,True,False
1,-1590,80,-11585,-2,2447,-3.264285714285716,-1,-2,1,1,True,True,False,True,True,True
-1,974,-78,-2248,-3,-15551,-11.151082251082249,0,-4,1,-1,False,False,False,False,False,False
2,365,-1,13457,-2,10740,35.425,1,1,2,0,True,True,False,True,True,True
0,23,125,3368,0,8225,13.833333333333334,1,2,0,0,False,True,False,True,True,True
-2,-188,-67,-7829,1,-10205,-13.908333333333331,1,-2,0,-1,False,False,True,False,True,False
1,364,-53,6788,2,13174,25.611904761904764,1,2,-1,1,True,True,True,True,False,True
0,-311,-21,1443,0,-7206,-31.75,1,-5,0,-1,False,False,True,False,True,False
0,1680,24,24529,2,11672,34.326190476190476,0,6,0,0,False,True,True,False,False,True
-1,-1561,-81,-17150,-2,-19226,-18.955627705627705,1,-6,-1,0,False,False,False,False,False,False
1,489,47,15486,-1,10119,11.437229437229439,1,5,-1,0,True,True,True,True,False,True
1,665,-153,-28938,-3,-14688,-16.274206349206345,0,-3,-1,-1,True,False,False,False,False,False
0,228,16,12402,1,10706,43.083333333333336,-1,4,-1,0,False,False,True,False,True,True
1,168,61,21360,3,12806,25.10595238095238,0,3,1,0,True,True,True,True,False,True
-1,183,-5,-2790,-3,-12794,-28.004761904761907,-2,-3,0,-1,False,False,False,False,True,False
0,683,157,7239,0,11735,13.0,1,2,0,0,False,True,False,True,True,True
1,129,-52,22761,3,18035,34.21010101010101,1,3,-2,0,True,True,True,False,False,True
0,1084,-83,-15276,0,-18681,-23.000000000000004,0,-6,1,0,False,True,False,False,False,False
